检验日期	钢线线径	槽轮槽距	班次	单晶编号	验证类型	异常类型	线径	切割时间	切割刀号	切割机台	配方编码	前后排别	排别	成品电导率	成品PH值	成品浓度	成品浊度	成品温度	成品表面张力	成品COD	柠檬酸	置换量	离子液添加量	原液添加比例	清液池电导率	清液池PH	清液池浓度	清液池温度	清液池COD	线痕	TTV
2024-08-13	32	181.5	白班	CLPC295240727802D72N04	0.6-1.6	#N/A	0.032	2024/8/13 11:00	N1B1062408131041	XQ-B1-06	G12-XXSD-110A	B1前排	B排	7.77	6.15	1.26%	60.3	25.6	28	24780	0	5.45%	7.00%	0.82 	7.52	5.78	0.0126 	24.3	24285	0	11
2024-08-14	32	181.5	夜班	CLPC295240728303D52Y03	0.6-1.6	#N/A	0.032	2024/8/15 2:09	N1B3112408141242	XQ-B3-11	G12-XXSD-100-TSI	B3后排	B排	7.68	6.24	1.27%	28.3	23.5	28	25000	0	5.00%	6.00%	0.73 	7.71	5.84	0.0123 	24	24462.5	5	35
2024-08-12	32	181.5	白班	CLPC295240728702D52Y03	0.6-1.6	#N/A	0.032	2024/8/12 7:49	N1B2062408110952	XQ-B2-06	G12-XXSD-110A	B2前排	B排	8.09	6.14	1.28%	37.5	25.8	27.9	24782.5	0	6.00%	7.00%	0.85 	7.93	5.88	0.0127 	23.1	24310	0	6
2024-08-14	32	181.5	夜班	CLPC295240728901D72V05F1	0.6-1.6	跳线	0.032	2024/8/14 14:55	N2B3072408141071	XQ-B3-07	G12-XXSD-110A	B3前排	B排	7.23	6.18	1.26%	26.9	25.9	27.9	24800	4米调配	5.00%	7.00%	0.73 	7.2	5.93	0.0123 	23.9	24375	0	7
2024-08-14	32	181.5	白班	CLPC295240729402D72Y02F2	0.6-1.6	断缝	0.032	2024/8/14 2:10	N2B3072408131042	XQ-B3-07	G12-XXSD-110A	B3前排	B排	7.89	6.14	1.26%	71.8	25	28	24512.5	0	5.00%	7.00%	0.73 	7.84	5.83	0.0124 	24.3	24000	8	9
2024-08-12	32	181.5	夜班	CLPC295240729402D72Y03	0.6-1.6	#N/A	0.032	2024/8/12 15:44	N1B3052408120981	XQ-B3-05	G12-XXSD-110A	B3前排	B排	8.8	6.19	1.29%	57.3	24.4	28.1	24770	0	6.00%	7.00%	0.85 	8.01	5.88	0.0126 	23.9	24255	1	1
2024-08-14	32	181.5	夜班	CLPC295240729602D72Y02	0.6-1.6	#N/A	0.032	2024/8/14 14:42	N1B1072408141071	XQ-B1-07	G12-XXSD-110A	B1前排	B排	7.23	6.18	1.26%	26.9	25.9	27.9	24800	4米调配	5.00%	7.00%	0.73 	7.2	5.93	0.0123 	23.9	24375	1	18
2024-08-12	32	181.5	夜班	CLPC295240730502D62N03	0.6-1.6	#N/A	0.032	2024/8/12 19:31	N1B1062408120991	XQ-B1-06	G12-XXSD-110A	B1前排	B排	8.02	6.18	1.29%	65	25.6	28	24770	0	6.00%	7.00%	0.85 	7.8	5.85	0.0126 	24.8	24255	3	7
2024-08-14	32	181.5	白班	CLPC295240730902D72Y04	0.6-1.6	跳线	0.032	2024/8/13 23:30	N1B1052408131182	XQ-B1-05	G12-XXSD-110A	B1前排	B排	8.03	6.11	1.27%	42.4	25	27.9	24455	0	5.00%	7.00%	0.73 	7.73	5.79	0.0124 	24.8	24025	4	4
2024-08-14	32	181.5	白班	CLPC295240732902D51Y03	0.6-1.6	#N/A	0.032	2024/8/14 2:46	N2B3052408131092	XQ-B3-05	G12-XXSD-110A	B3前排	B排	7.41	6.14	1.27%	86.8	25	28	24512.5	4米调配	5.00%	7.00%	0.73 	7.84	5.83	0.0124 	24.3	24000	1	5
2024-08-14	32	181.5	夜班	CLPC295240732902D62Y02	0.6-1.6	#N/A	0.032	2024/8/14 23:33	N1B2012408141342	XQ-B2-01	G12-XXSD-110A	B2前排	B排	7.59	6.22	1.26%	23.1	25.9	27.9	24800	0	5.00%	6.00%	0.74 	7.6	5.82	0.0123 	24.2	24375	1	7
2024-08-13	32	181.5	夜班	CLPC295240733502D62N02	0.6-1.6	断缝	0.032	2024/8/13 12:27	N1B1042408131061	XQ-B1-04	G12-XXSD-110A	B1前排	B排	7.8	6.1	1.27%	42.9	26	28.1	24780	4米调配	5.45%	7.00%	0.82 	7.79	5.81	0.0126 	24.5	24285	30	2
2024-08-13	32	181.5	夜班	CLPC295240733502D62N04	0.6-1.6	断下线	0.032	2024/8/13 23:36	N1B1062408131082	XQ-B1-06	G12-XXSD-110A	B1前排	B排	8.81	6.12	1.26%	28.4	24.7	28	24455	0	5.00%	7.00%	0.73 	7.73	5.79	0.0124 	24.8	24025	0	3
2024-08-14	32	181.5	白班	CLPC295240735202D41N02F2	0.6-1.6	#N/A	0.032	2024/8/14 13:07	N2B3012408141091	XQ-B3-01	G12-XXSD-110A	B3前排	B排	7.42	6.19	1.27%	35.5	25.6	27.9	24512.5	0	5.00%	7.00%	0.73 	7.57	5.91	0.0123 	24.6	24000	3	4
2024-08-13	32	181.5	白班	CLPC295240740202D62N02F2	0.6-1.6	#N/A	0.032	2024/8/13 12:22	N2B4022408131041	XQ-B4-02	G12-XXSD-110A	B4前排	B排	7.8	6.1	1.27%	42.9	26	28.1	24780	4米调配	5.45%	7.00%	0.82 	7.79	5.81	0.0126 	24.5	24285	0	5
2024-08-13	28	176.5	白班	CLPC295240740202D72N02	0.6-1.6	#N/A	0.028	2024/8/13 4:16	N1B1152408120932	XQ-B1-15	G12130-H26-FQ-29	B1后排	B排	7.68	6.13	1.27%	45.8	25.5	27.9	24780	0	5.52%	7.00%	0.82 	7.89	5.8	0.0126 	23.9	24285	4	0
2024-08-13	32	181.5	夜班	CLPC295240740202D72N03	0.6-1.6	#N/A	0.032	2024/8/13 8:49	N1B3022408121132	XQ-B3-02	G12-XXSD-110A	B3前排	B排	7.53	6.09	1.27%	34.7	26.1	27.9	24780	4米调配	5.45%	7.00%	0.82 	7.82	5.81	0.0126 	23.8	24285	6	10
2024-08-14	32	181.5	夜班	CLPC295240740202D72N04	0.6-1.6	#N/A	0.032	2024/8/14 12:28	N2B4012408141081	XQ-B4-01	G12-XXSD-110A	B4前排	B排	7.42	6.19	1.27%	35.5	25.6	27.9	24512.5	0	5.00%	7.00%	0.73 	7.57	5.91	0.0123 	24.6	24000	1	5
2024-08-14	32	181.5	白班	CLPC295240740202D72N05W	0.6-1.6	#N/A	0.032	2024/8/14 4:10	N2B4032408131142	XQ-B4-03	G12-XXSD-110A	B4前排	B排	7.94	6.09	1.27%	36.8	24.7	28	24512.5	0	5.00%	7.00%	0.73 	7.94	5.9	0.0124 	24	24000	0	13
2024-08-13	28	176.5	白班	CLPC295240740401D71V02	0.6-1.6	#N/A	0.028	2024/8/13 8:30	N1B2152408120912	XQ-B2-15	G12130-H26-FQ-29	B2后排	B排	7.98	6.14	1.28%	53.6	25.1	28	24780	0	5.45%	7.00%	0.82 	7.82	5.81	0.0126 	23.8	24285	4	8
2024-08-14	32	181.5	夜班	CLPC295240740401D71V03	0.6-1.6	#N/A	0.032	2024/8/14 22:59	N1B3062408141202	XQ-B3-06	G12-XXSD-110A	B3前排	B排	7.48	6.21	1.27%	30.3	25.9	27.8	24800	0	5.00%	6.00%	0.73 	7.6	5.82	0.0123 	24.2	24375	6	5
2024-08-14	28	176.5	白班	CLPC295240740401D71V04	0.6-1.6	#N/A	0.028	2024/8/14 4:39	N1B1152408131012	XQ-B1-15	G12-130-H26-FQ-29	B1后排	B排	7.96	6.14	1.27%	32	26.2	28	24512.5	4米调配	5.00%	7.00%	0.73 	7.94	5.9	0.0124 	24	24000	1	1
2024-08-12	32	181.5	夜班	CLPC295240740503D62N02F2	0.6-1.6	#N/A	0.032	2024/8/12 5:55	N2B3052408110942	XQ-B3-05	G12-XXSD-110A	B3前排	B排	8.13	6.18	1.28%	38.3	25.6	27.8	24782.5	0	6.00%	7.00%	0.85 	8.17	5.79	0.0127 	22.9	24310	1	7
2024-08-14	32	181.5	白班	CLPC295240740503D72N02	0.6-1.6	#N/A	0.032	2024/8/14 6:18	N1B3022408131212	XQ-B3-02	G12-XXSD-110A	B3前排	B排	7.49	6.16	1.28%	24.1	25	28	24512.5	0	5.00%	7.00%	0.74 	7.8	5.85	0.0123 	23.7	24000	5	4
